ticker,CAR_capm_x,t_capm_x,event_id
HAFC,-0.1183,-3.992,4
CVBF,-0.1699,-6.457,4
RNST,-0.0378,-1.318,4
WAFD,-0.0625,-2.143,4
CATY,-0.0809,-3.367,4
EBC,-0.1312,-4.183,4
GABC,-0.0521,-1.98,4
IBCP,-0.0967,-3.338,4
SIVB,0,NA,5
SBNY,0,NA,5
FRC,-2.8513,-17.568,5
ZION,-0.1467,-2.339,5
WAL,-0.2343,-1.925,5
PACW,-0.5334,-4.534,5
CMA,-0.1263,-1.867,5
KEY,-0.102,-1.604,5
RF,-0.0885,-2.538,5
JPM,-0.005,-0.171,5
BAC,-0.0248,-0.812,5
WFC,-0.0264,-0.824,5
USB,-0.0557,-1.372,5
TFC,-0.0826,-1.884,5
FITB,-0.0667,-1.634,5
HBAN,-0.0778,-1.81,5
CFG,-0.0931,-2.54,5
FHN,-0.147,-3.176,5
COLB,-0.0522,-1.19,5
OZK,-0.024,-0.638,5
WTFC,-0.0708,-1.839,5
BOKF,-0.0562,-1.658,5
UMBF,-0.0952,-2.089,5
VLY,-0.1605,-4.942,5
WBS,-0.0889,-2.043,5
HWC,-0.0536,-1.489,5
EWBC,-0.1167,-2.267,5
CBSH,-0.004,-0.162,5
FFBC,-0.0343,-1.105,5
PB,-0.0114,-0.408,5
TCBI,-0.0741,-1.553,5
ONB,-0.0822,-2.575,5
UBSI,-0.0378,-1.277,5
GBCI,-0.1049,-3.126,5
INDB,-0.1124,-3.556,5
WSFS,-0.0264,-0.703,5
BANR,-0.0668,-1.935,5
FFIN,0.0084,0.213,5
TRMK,-0.0826,-2.269,5
SFNC,0.0052,0.14,5
HAFC,-0.1001,-2.864,5
CVBF,-0.117,-2.715,5
RNST,-0.0657,-2.045,5
WAFD,-0.0799,-2.294,5
CATY,-0.0558,-1.908,5
EBC,-0.0356,-0.739,5
GABC,-0.0594,-2.042,5
IBCP,-0.0517,-1.481,5
