ticker,CAR_ff3,t_ff3,p_ff3,sig_ff3,event_id
HWC,-0.1315,-5.148,0,TRUE,3
EWBC,-0.1393,-4.556,0,TRUE,3
CBSH,-0.0134,-0.648,0.518,FALSE,3
FFBC,0.0039,0.176,0.8607,FALSE,3
PB,-0.0051,-0.229,0.8191,FALSE,3
TCBI,-0.0764,-2.271,0.0242,TRUE,3
ONB,-0.0483,-1.993,0.0476,TRUE,3
UBSI,5e-4,0.02,0.9839,FALSE,3
GBCI,-0.0105,-0.422,0.6737,FALSE,3
INDB,-0.0404,-1.77,0.0783,FALSE,3
WSFS,-0.0766,-2.671,0.0082,TRUE,3
BANR,-0.0311,-1.32,0.1885,FALSE,3
FFIN,-0.0273,-0.885,0.3773,FALSE,3
TRMK,-0.02,-0.629,0.53,FALSE,3
SFNC,-4e-4,-0.014,0.9888,FALSE,3
HAFC,-0.0621,-2.323,0.0212,TRUE,3
CVBF,-0.1319,-5.498,0,TRUE,3
RNST,0.0142,0.544,0.5868,FALSE,3
WAFD,-0.0078,-0.29,0.7721,FALSE,3
CATY,-0.0268,-1.324,0.1869,FALSE,3
EBC,-0.1526,-5.006,0,TRUE,3
GABC,-0.0351,-1.437,0.1524,FALSE,3
IBCP,-0.0715,-2.712,0.0073,TRUE,3
SIVB,0,NA,NA,NA,4
SBNY,0,NA,NA,NA,4
FRC,-1.2642,-34.271,0,TRUE,4
ZION,-0.2454,-8.828,0,TRUE,4
WAL,-0.4169,-12.426,0,TRUE,4
PACW,-0.2224,-6.741,0,TRUE,4
CMA,-0.2279,-7.32,0,TRUE,4
KEY,-0.2592,-9.164,0,TRUE,4
RF,-0.0663,-2.546,0.0117,TRUE,4
JPM,-0.0331,-1.467,0.144,FALSE,4
BAC,-0.0454,-1.85,0.0659,FALSE,4
WFC,-0.0624,-2.342,0.0202,TRUE,4
USB,-0.172,-6.555,0,TRUE,4
TFC,-0.201,-7.65,0,TRUE,4
FITB,-0.1321,-4.934,0,TRUE,4
HBAN,-0.2005,-7.635,0,TRUE,4
CFG,-0.0606,-2.454,0.015,TRUE,4
FHN,-0.2803,-18.974,0,TRUE,4
COLB,-0.0488,-1.732,0.0849,FALSE,4
OZK,0.0246,0.921,0.3583,FALSE,4
WTFC,-0.0488,-2.065,0.0402,TRUE,4
BOKF,-0.0381,-1.586,0.1144,FALSE,4
UMBF,-0.2603,-9.046,0,TRUE,4
VLY,0.0079,0.322,0.7477,FALSE,4
WBS,-0.057,-2.071,0.0397,TRUE,4
HWC,-0.1146,-4.484,0,TRUE,4
EWBC,-0.0816,-2.673,0.0081,TRUE,4
CBSH,-0.0093,-0.456,0.6487,FALSE,4
FFBC,0.0204,0.925,0.3563,FALSE,4
PB,0.0167,0.75,0.4544,FALSE,4
TCBI,-0.0867,-2.585,0.0105,TRUE,4
ONB,-0.0456,-1.885,0.0609,FALSE,4
UBSI,0.0422,1.897,0.0593,FALSE,4
GBCI,0.0511,2.045,0.0422,TRUE,4
INDB,0.0183,0.799,0.4255,FALSE,4
WSFS,-0.0548,-1.924,0.0557,FALSE,4
BANR,0.0051,0.218,0.828,FALSE,4
FFIN,-0.0626,-2.027,0.044,TRUE,4
TRMK,-0.0072,-0.225,0.8221,FALSE,4
SFNC,0.0029,0.099,0.9213,FALSE,4
HAFC,-0.0553,-2.066,0.0402,TRUE,4
CVBF,-0.1148,-4.781,0,TRUE,4
RNST,0.0237,0.909,0.3645,FALSE,4
WAFD,-0.004,-0.15,0.8812,FALSE,4
CATY,-0.0157,-0.769,0.4427,FALSE,4
EBC,-0.094,-3.087,0.0023,TRUE,4
GABC,-0.0017,-0.068,0.9457,FALSE,4
IBCP,-0.0373,-1.418,0.1577,FALSE,4
SIVB,0,NA,NA,NA,5
SBNY,0,NA,NA,NA,5
FRC,-2.8621,-19.616,0,TRUE,5
ZION,-0.0939,-1.88,0.0616,FALSE,5
WAL,-0.1632,-1.523,0.1293,FALSE,5
PACW,-0.4636,-4.515,0,TRUE,5
CMA,-0.0725,-1.313,0.1909,FALSE,5
KEY,-0.0478,-0.945,0.346,FALSE,5
RF,-0.0571,-2.098,0.0372,TRUE,5
JPM,0.0149,0.574,0.5666,FALSE,5
BAC,4e-4,0.014,0.9887,FALSE,5
WFC,1e-4,0.003,0.9974,FALSE,5
USB,-0.0213,-0.646,0.5189,FALSE,5
TFC,-0.0468,-1.318,0.189,FALSE,5
FITB,-0.0274,-0.907,0.3654,FALSE,5
HBAN,-0.0396,-1.171,0.243,FALSE,5
CFG,-0.0594,-2.12,0.0353,TRUE,5
FHN,-0.1185,-2.876,0.0045,TRUE,5
COLB,-0.0206,-0.564,0.5731,FALSE,5
OZK,9e-4,0.028,0.9778,FALSE,5
WTFC,-0.0343,-1.198,0.2325,FALSE,5
BOKF,-0.0271,-1.01,0.3135,FALSE,5
UMBF,-0.0634,-1.598,0.1117,FALSE,5
VLY,-0.1414,-4.825,0,TRUE,5
WBS,-0.0491,-1.497,0.136,FALSE,5
HWC,-0.0222,-0.77,0.4423,FALSE,5
EWBC,-0.0746,-1.839,0.0674,FALSE,5
CBSH,0.0146,0.697,0.4867,FALSE,5
FFBC,-0.0097,-0.377,0.7067,FALSE,5
PB,0.0078,0.321,0.7485,FALSE,5
TCBI,-0.0379,-0.951,0.3427,FALSE,5
ONB,-0.055,-2.166,0.0315,TRUE,5
UBSI,-0.0145,-0.588,0.5569,FALSE,5
GBCI,-0.0822,-2.892,0.0043,TRUE,5
INDB,-0.0872,-3.334,0.001,TRUE,5
WSFS,0.0025,0.082,0.9349,FALSE,5
BANR,-0.0369,-1.376,0.1702,FALSE,5
FFIN,0.0273,0.755,0.451,FALSE,5
TRMK,-0.064,-1.898,0.0591,FALSE,5
SFNC,0.0319,1.008,0.3145,FALSE,5
HAFC,-0.0728,-2.53,0.0122,TRUE,5
CVBF,-0.0814,-2.378,0.0184,TRUE,5
RNST,-0.0439,-1.584,0.1147,FALSE,5
WAFD,-0.0613,-1.9,0.0588,FALSE,5
CATY,-0.0307,-1.347,0.1797,FALSE,5
EBC,-0.0026,-0.061,0.9517,FALSE,5
GABC,-0.0365,-1.531,0.1274,FALSE,5
IBCP,-0.0228,-0.812,0.4177,FALSE,5
